#architectEn誤	正

ASHIHARA ARCHITECTURAL DESIGN INSTITUTE	Y.ASHIHARA ARCHITECT & ASSOCIATES

HITACHI ARCHITECTS AND ENGINEERS	HITACHI ARCHITECTS & ENGINEERS
SUZUKI EDWARD ARCHITECTS	EDWARD SUZUKI ASSOCIATES

ATSUSHI KITAGAWARA ARCHITECTS INC.	ATSUSHI KITAGAWARA ARCHITECTS
HITOSHI WAKAMATSU ARCHITECTS	HITOSHI WAKAMATSU ARCHITECT AND ASSOCIATE
NOBUAKI FURUYA+NASCA	NOBUAKI FURUYA/NASCA

KOHN PEDERSEN FOX ASSOCIATES PC	KOHN PEDERSEN FOX ASSOCIATES

SUMITOMO MITSUI CONSTRUCTION CO., LTD.	SUMITOMO MITSUI CONSTRUCTION
SUMITOMO MITSUI CONSTRUCTION CO.	SUMITOMO MITSUI CONSTRUCTION

TOKYO INSTITUTE OF TECHNOLOGY TSUKAMOTO LABORATORY+ATELIER BOW-WOW	MOUNT FUJI ARCHITECTS STUDIO

MASATAKA BABA, YUKI HIRALWA./OPEN A	MASATAKA BABA + YUKI HIRAIWA / OPEN A

ZO DESIGN GROUP	ATELIER ZO
ELEPHANT DESIGN GROUP	ATELIER ZO
ALP DESIGNERS	ALP DESIGN OFFICE
ALP DESIGN OFFICE.	ALP DESIGN OFFICE
KUNIHIKO HAYAKAWA ARCHITECT&ASSOCIATES	KUNIHIKO HAYAKAWA ARCHITECT & ASSOCIATES
CONTEMPORARY ARCHITECTURE INSTITUTE	GKK ARCHITECTS & ENGINEERS

SHIN TAKAMATSU ARCHITECT & ASSOCIATES	SHIN TAKAMATSU ARCHITECT AND ASSOCIATES
SHIN TAKAMATSU ARCHITECT AND ASSOCIATES CO.,LTD.	SHIN TAKAMATSU ARCHITECT AND ASSOCIATES
NOMURA KANEEO DESIGN OFFICE	KANEO NOMURA ARCHITECT & ASSOCIATES
