name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"JV",40,"設計共同企業体",35,2728,1203
"JV",40,"設計共同企業体",35,3143,1359
"JV",40,"設計共同企業体",35,3172,1371
"JV",40,"設計共同企業体",35,3982,1725
"JV",40,"設計共同企業体",35,4313,1862
"JV",40,"設計共同企業体",35,4344,1875
"JV",40,"設計共同企業体",35,4394,1890
"JV",40,"設計共同企業体",35,4940,2121
"JV",40,"設計共同企業体",35,5088,2195
"JV",40,"設計共同企業体",35,5195,2248
"JV",40,"設計共同企業体",35,5216,2258
"JV",40,"設計共同企業体",35,5244,2275
"JV",40,"設計共同企業体",35,5264,2286
"JV",40,"設計共同企業体",35,5758,2535
"JV",40,"設計共同企業体",35,6118,2726
"JV",40,"設計共同企業体",35,6379,2835
"JV",40,"設計共同企業体",35,6393,2844
"JV",40,"設計共同企業体",35,6402,2851
"JV",40,"設計共同企業体",35,6711,3014
"JV",40,"設計共同企業体",35,6850,3072
"JV",40,"設計共同企業体",35,7009,3155
"JV",40,"設計共同企業体",35,8084,3705
"JV",40,"設計共同企業体",35,8164,3755
"JV",40,"設計共同企業体",35,8172,3757
"JV",40,"設計共同企業体",35,8351,3857
"JV",40,"設計共同企業体",35,8595,3991
"JV",40,"設計共同企業体",35,8777,4089
"JV",40,"設計共同企業体",35,8971,4199
"JV",40,"設計共同企業体",35,9053,4246
"JV",40,"設計共同企業体",35,9258,4373
"JV",40,"設計共同企業体",35,9405,4466
"JV",40,"設計共同企業体",35,9450,4497
"JV",40,"設計共同企業体",35,9657,4614
"JV",40,"設計共同企業体",35,9753,4666
"JV",40,"設計共同企業体",35,9768,4673
"JV",40,"共同体",5,3162,1366
"JV",40,"共同体",5,6357,2825
"JV",40,"共同体",5,7261,3282
"JV",40,"共同体",5,7495,3394
"JV",40,"共同体",5,9392,4455
"JV",40,"設計共同体",42,3540,1520
"JV",40,"設計共同体",42,4020,1748
"JV",40,"設計共同体",42,4354,1879
"JV",40,"設計共同体",42,5369,2337
"JV",40,"設計共同体",42,5388,2347
"JV",40,"設計共同体",42,5743,2528
"JV",40,"設計共同体",42,5897,2605
"JV",40,"設計共同体",42,6021,2671
"JV",40,"設計共同体",42,6022,2672
"JV",40,"設計共同体",42,6046,2688
"JV",40,"設計共同体",42,6190,2760
"JV",40,"設計共同体",42,6492,2899
"JV",40,"設計共同体",42,6680,3000
"JV",40,"設計共同体",42,6845,3069
"JV",40,"設計共同体",42,7118,3212
"JV",40,"設計共同体",42,7182,3232
"JV",40,"設計共同体",42,7758,3542
"JV",40,"設計共同体",42,7915,3614
"JV",40,"設計共同体",42,7929,3626
"JV",40,"設計共同体",42,8066,3696
"JV",40,"設計共同体",42,8099,3716
"JV",40,"設計共同体",42,8293,3822
"JV",40,"設計共同体",42,8358,3861
"JV",40,"設計共同体",42,8363,3862
"JV",40,"設計共同体",42,8396,3879
"JV",40,"設計共同体",42,8399,3881
"JV",40,"設計共同体",42,8596,3992
"JV",40,"設計共同体",42,8765,4082
"JV",40,"設計共同体",42,9071,4257
"JV",40,"設計共同体",42,9143,4299
"JV",40,"設計共同体",42,9144,4300
"JV",40,"設計共同体",42,9154,4305
"JV",40,"設計共同体",42,9166,4313
"JV",40,"設計共同体",42,9384,4450
"JV",40,"設計共同体",42,9403,4464
"JV",40,"設計共同体",42,9439,4489
"JV",40,"設計共同体",42,9600,4578
"JV",40,"設計共同体",42,9611,4587
"JV",40,"設計共同体",42,9808,4694
"JV",40,"設計共同体",42,9956,4779
"JV",40,"設計共同体",42,10073,4843
"JV",40,"設計共同体",42,10127,4864
"JV",40,"共同設計室",1,3825,1648
"JV",40,"共同企業体",29,3894,1682
"JV",40,"共同企業体",29,4635,1992
"JV",40,"共同企業体",29,4974,2148
"JV",40,"共同企業体",29,5164,2236
"JV",40,"共同企業体",29,5693,2497
"JV",40,"共同企業体",29,6286,2800
"JV",40,"共同企業体",29,6869,3084
"JV",40,"共同企業体",29,6897,3099
"JV",40,"共同企業体",29,7016,3160
"JV",40,"共同企業体",29,7202,3243
"JV",40,"共同企業体",29,7402,3347
"JV",40,"共同企業体",29,7605,3455
"JV",40,"共同企業体",29,7825,3572
